Pais;Data;PIB;Consumo;Investimento;Gastos_Governo;Exportacoes;Importacoes;Inflacao;Desemprego;Taxa_Juros;Divida_Publica;Producao_Industrial;Setor_Agricola;Setor_Servicos;Balanca_Comercial;Crescimento_PIB
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
